element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Type,
As,33,"=""""","=""1.0005266""","=""""","=""4.5381e+11""",AA,,
As,33,"=""""","=""1.0005415""","=""""","=""1.1008e+11""",AA,,
Fe,20,"=""1.0008""","=""1.0009""","=""""","=""""",,,
Fe,20,"=""1.0008""","=""1.0008""","=""""","=""""",,,
Ga,23,"=""1.0013""","=""1.0013*""","=""""","=""""",,,
Ga,23,"=""1.0017""","=""1.0005*""","=""bl""","=""""",,,
W,46,"=""1.0017""","=""1.0017""","=""15""","=""""",,,
Ti,22,"=""""","=""1.00232844""","=""""","=""4.8360e+12""",AA,,
Co,18,"=""1.0025""","=""1.002*""","=""""","=""""",,,
Ti,22,"=""""","=""1.00268935""","=""""","=""8.0194e+11""",AA,,
Na,11,"=""1.0027""","=""1.002317884""","=""bl*""","=""9.1633e+12""",AA,,
Na,11,"=""1.0027""","=""1.002858768""","=""bl*""","=""9.1839e+12""",AA,,
Fe,18,"=""1.003""","=""1.0030""","=""""","=""""",,,
Co,18,"=""1.0030""","=""1.003*""","=""""","=""2.7e+12""",D,,
Fe,20,"=""1.0034""","=""1.0034""","=""""","=""""",,,
Fe,20,"=""1.0034""","=""1.0034""","=""""","=""""",,,
Fe,20,"=""1.0034""","=""1.0034""","=""""","=""""",,,
Fe,25,"=""""","=""1.0037""","=""""","=""8.08e+12""",B,,
Ti,22,"=""""","=""1.00375090""","=""""","=""4.3016e+11""",AA,,
Ti,20,"=""1.0046""","=""1.0046*""","=""""","=""7.29e+11""",C+,,
V,22,"=""""","=""1.0046""","=""""","=""4.8e+12""",C,,
Co,24,"=""1.0053""","=""1.004*""","=""3""","=""""",,,
Co,24,"=""1.0053""","=""1.0053*""","=""3""","=""""",,,
Cu,21,"=""1.0057""","=""1.0057*""","=""""","=""""",,,
Fe,20,"=""1.0058""","=""1.0058""","=""""","=""""",,,
Co,18,"=""1.0066""","=""1.0066*""","=""""","=""""",,,
Co,24,"=""1.0066""","=""1.0066*""","=""""","=""7.9e+12""",D,,
Co,24,"=""1.0066""","=""1.0066*""","=""""","=""7.0e+12""",C,,
Co,24,"=""1.0066""","=""1.0066*""","=""""","=""6.3e+12""",C,,
V,22,"=""""","=""1.0072""","=""""","=""6.1e+11""",C,,
Cu,21,"=""1.0074""","=""1.0074*""","=""""","=""""",,,
Ba,29,"=""1.0075""","=""1.0075""","=""11""","=""3.1e+12""",,,
Ga,23,"=""1.0083""","=""1.0083*""","=""""","=""""",,,
Kr,35,"=""""","=""1.00848""","=""""","=""""",,,
Co,24,"=""""","=""1.0085""","=""""","=""6.0e+12""",C,,
Ti,20,"=""1.0109""","=""1.0109*""","=""""","=""8.6e+11""",C+,,
Ti,20,"=""1.0109""","=""1.0109*""","=""""","=""1.4e+11""",D,,
Ga,23,"=""1.0109""","=""1.0109*""","=""""","=""""",,,
Ni,19,"=""1.0109""","=""1.0109""","=""""","=""9.4e+12""",D,,
Co,24,"=""1.0115""","=""1.0115*""","=""""","=""5.9e+12""",C,,
Co,24,"=""1.0115""","=""1.0120*""","=""""","=""1.8e+12""",E,,
Na,10,"=""1.01190""","=""1.00540""","=""D*""","=""""",,,
Na,10,"=""1.01190""","=""1.01193""","=""D*""","=""""",,,
Kr,35,"=""""","=""1.01191""","=""""","=""""",,,
Cu,21,"=""1.0121""","=""1.0121*""","=""""","=""""",,,
Fe,20,"=""1.0121""","=""1.0121""","=""""","=""""",,,
Fe,20,"=""1.0121""","=""1.0121""","=""""","=""""",,,
Fe,17,"=""1.0123""","=""1.0124""","=""2""","=""""",,,
Fe,17,"=""1.0123""","=""1.0124""","=""2""","=""""",,,
Ba,29,"=""1.0138""","=""1.0138""","=""12""","=""1.15e+13""",,,
Ni,19,"=""1.0155""","=""1.0155""","=""""","=""7.0e+10""",E,,
Co,24,"=""1.0156""","=""1.0156*""","=""""","=""3.4e+12""",E,,
Na,10,"=""1.01570""","=""1.01525""","=""*""","=""""",,,
Na,10,"=""1.01570""","=""1.01561""","=""*""","=""""",,,
Fe,20,"=""1.0159""","=""1.0160""","=""""","=""""",,,
Fe,20,"=""1.0159""","=""1.0160""","=""""","=""""",,,
Co,25,"=""""","=""1.0159""","=""""","=""2.19e+13""",C+,,
Mo,42,"=""""","=""1.01603""","=""""","=""""",,,
Na,10,"=""1.01700""","=""1.01647""","=""*""","=""""",,,
Na,10,"=""1.01700""","=""1.01671""","=""*""","=""""",,,
Kr,35,"=""""","=""1.01747""","=""""","=""""",,,
Fe,20,"=""1.0177""","=""1.0177""","=""""","=""""",,,
Fe,20,"=""1.0177""","=""1.0177""","=""""","=""""",,,
Fe,20,"=""1.0177""","=""1.0178""","=""""","=""""",,,
Kr,35,"=""""","=""1.01771""","=""""","=""""",,,
Ca,20,"=""""","=""1.01786692""","=""""","=""3.9716e+10""",AA,,
Co,24,"=""""","=""1.0179""","=""""","=""1.7e+11""",E,,
Ca,20,"=""""","=""1.01806440""","=""""","=""4.6168e+11""",AA,,
W,46,"=""1.0181""","=""1.0181""","=""20""","=""""",,,
Kr,35,"=""""","=""1.01807""","=""""","=""""",,,
Co,24,"=""1.0182""","=""1.018*""","=""""","=""2.1e+12""",D,,
Ba,28,"=""1.0182""","=""1.0182""","=""35""","=""""",,,
Kr,35,"=""""","=""1.01812""","=""""","=""""",,,
Co,18,"=""1.0184""","=""1.0184*""","=""""","=""""",,,
Na,10,"=""1.01930""","=""1.01912""","=""""","=""""",,,
Mo,32,"=""1.0197""","=""1.01970*""","=""2""","=""""",,,
Ga,23,"=""1.0198""","=""1.0198*""","=""""","=""""",,,
Cu,21,"=""1.0203""","=""1.0203*""","=""""","=""""",,,
Fe,25,"=""""","=""1.0204""","=""""","=""""",,,
Co,19,"=""1.0206""","=""1.021*""","=""""","=""""",,,
Co,18,"=""1.0207""","=""1.0207*""","=""""","=""""",,,
Br,35,"=""""","=""1.021867""","=""""","=""4.3259e+12""",AA,,
Fe,17,"=""1.0221""","=""1.0221""","=""1""","=""""",,,
Fe,25,"=""""","=""1.0221""","=""""","=""""",,,
Fe,25,"=""""","=""1.0220""","=""""","=""7.75e+12""",B,,
Fe,20,"=""1.0222""","=""1.0222""","=""""","=""""",,,
Fe,25,"=""""","=""1.0222""","=""""","=""""",,,
Br,35,"=""""","=""1.022256""","=""""","=""2.4093e+12""",AA,,
Cu,21,"=""1.0234""","=""1.0234*""","=""""","=""""",,,
Ne,10,"=""""","=""1.023848727""","=""""","=""1.6726e+12""",AA,,
Ga,23,"=""1.0239""","=""1.0239*""","=""""","=""""",,,
Ne,10,"=""""","=""1.023962821""","=""""","=""1.6722e+12""",AA,,
Ca,20,"=""""","=""1.02405364""","=""""","=""8.2660e+10""",AA,,
Mo,32,"=""1.0241""","=""1.02410*""","=""3""","=""""",,,
Kr,35,"=""""","=""1.02493""","=""""","=""""",,,
Br,35,"=""""","=""1.025607""","=""""","=""4.6781e+11""",AA,,
Cu,21,"=""1.0260""","=""1.0260*""","=""""","=""""",,,
Br,35,"=""""","=""1.026093""","=""""","=""2.5426e+12""",AA,,
Co,24,"=""1.0265""","=""1.0265*""","=""""","=""7.6e+12""",C,,
Mo,32,"=""1.0272""","=""1.02720*""","=""3""","=""""",,,
Co,19,"=""1.0275""","=""1.0275*""","=""""","=""""",,,
Ti,20,"=""""","=""1.0278""","=""""","=""8.400e+11""",C+',,
Ti,20,"=""""","=""1.0282""","=""""","=""8.400e+11""",C+',,
Ni,19,"=""1.0281""","=""1.0281""","=""""","=""4.7e+11""",D,,
Tm,69,"=""""","=""1.028176""","=""""","=""3.1919e+12""",AA,,
Cu,21,"=""1.0282""","=""1.0283*""","=""""","=""""",,,
Co,19,"=""1.0290""","=""1.0290*""","=""""","=""""",,,
Co,19,"=""1.0290""","=""1.0290*""","=""""","=""""",,,
Co,19,"=""1.0290""","=""1.0290*""","=""""","=""""",,,
Cu,21,"=""1.0291""","=""1.0291*""","=""""","=""""",,,
Ga,23,"=""1.0298""","=""1.0298*""","=""""","=""""",,,
Co,25,"=""""","=""1.0303""","=""""","=""2.56e+13""",C+,,
Cu,21,"=""1.0306""","=""1.0306*""","=""""","=""""",,,
Cu,21,"=""1.0316""","=""1.0316*""","=""""","=""""",,,
Co,25,"=""""","=""1.0318""","=""""","=""4.3e+12""",C,,
Ga,23,"=""1.0319""","=""1.0320*""","=""""","=""""",,,
Fe,17,"=""1.0320""","=""1.0320""","=""2""","=""""",,,
Mo,32,"=""1.0323""","=""1.03230*""","=""2""","=""""",,,
Mn,25,"=""""","=""1.03240834""","=""""","=""2.1363e+13""",AA,,
Ba,28,"=""1.0327""","=""1.0327""","=""18""","=""""",,,
Mn,25,"=""""","=""1.0328230""","=""""","=""8.6911e+12""",AA,,
Fe,18,"=""1.033""","=""1.0331""","=""""","=""""",,,
Fe,18,"=""1.033""","=""1.0331""","=""""","=""""",,,
Ga,23,"=""1.0333""","=""1.0333*""","=""""","=""""",,,
Fe,25,"=""""","=""1.0333""","=""""","=""""",,,
Kr,35,"=""""","=""1.03330""","=""""","=""""",,,
Kr,35,"=""""","=""1.03454""","=""""","=""""",,,
Ga,23,"=""1.0347""","=""1.0348*""","=""""","=""""",,,
Fe,25,"=""""","=""1.0347""","=""""","=""""",,,
Cu,21,"=""1.0354""","=""1.0354*""","=""""","=""""",,,
Co,25,"=""""","=""1.0372""","=""""","=""1.1e+12""",D,,
Mn,25,"=""""","=""1.0369064""","=""""","=""8.4087e+11""",AA,,
Fe,25,"=""""","=""1.0369""","=""""","=""8.7e+11""",B,,
Ba,27,"=""1.0371""","=""1.0371""","=""15""","=""3.10e+14""",,,
Co,19,"=""1.0373""","=""1.037*""","=""""","=""""",,,
Mn,25,"=""""","=""1.0374611""","=""""","=""8.9678e+12""",AA,,
Fe,17,"=""1.0386""","=""1.0386""","=""1""","=""""",,,
Br,35,"=""""","=""1.03860155""","=""""","=""6.4528e+12""",AA,,
Br,35,"=""""","=""1.038633""","=""""","=""5.1119e+12""",AA,,
Ba,29,"=""1.0388""","=""1.0388""","=""15""","=""9.0e+12""",,,
Kr,35,"=""""","=""1.03877""","=""""","=""""",,,
Co,24,"=""""","=""1.0389""","=""""","=""2.7e+12""",D,,
Co,24,"=""""","=""1.0389""","=""""","=""4.3e+12""",C,,
Cu,21,"=""1.0392""","=""1.0392*""","=""""","=""""",,,
W,70,"=""1.0397""","=""1.0397""","=""4""","=""""",,,
Br,35,"=""""","=""1.0398739""","=""""","=""2.2800e+10""",AA,,
Br,35,"=""""","=""1.039915""","=""""","=""8.5310e+11""",AA,,
Co,19,"=""1.0406""","=""1.041*""","=""""","=""""",,,
Co,19,"=""1.0406""","=""1.041*""","=""""","=""""",,,
Co,19,"=""1.0406""","=""1.0406*""","=""""","=""""",,,
Co,19,"=""1.0406""","=""1.0406*""","=""""","=""""",,,
Fe,18,"=""1.041""","=""1.0406""","=""""","=""""",,,
V,21,"=""""","=""1.0401""","=""""","=""2.0e+12""",C+',,
V,21,"=""""","=""1.0412""","=""""","=""2.0e+12""",C+',,
Kr,35,"=""""","=""1.04157""","=""""","=""""",,,
Co,24,"=""1.0428""","=""1.0415*""","=""""","=""1.5e+13""",C,,
Ni,19,"=""1.0431""","=""1.0431""","=""""","=""5.1e+11""",D,,
Cs,28,"=""""","=""1.0431""","=""""","=""2.74e+12""",,,
Br,35,"=""""","=""1.043789""","=""""","=""1.0441e+12""",AA,,
Br,35,"=""""","=""1.0438445""","=""""","=""2.7173e+11""",AA,,
Br,35,"=""""","=""1.04391184""","=""""","=""6.8243e+12""",AA,,
Fe,18,"=""1.044""","=""1.0441""","=""""","=""""",,,
Fe,18,"=""1.044""","=""1.0441""","=""""","=""""",,,
Sc,19,"=""1.0443""","=""1.0443""","=""g*""","=""2.530e+11""",C+',,
Sc,19,"=""1.0443""","=""1.0443""","=""g*""","=""2.530e+11""",C+',,
Co,24,"=""""","=""1.0443""","=""""","=""3.1e+10""",C,,
Co,24,"=""1.0445""","=""1.0447*""","=""""","=""2.01e+13""",C,,
Co,24,"=""1.0445""","=""1.0453*""","=""""","=""1.1e+13""",C,,
Br,35,"=""""","=""1.04455459""","=""""","=""4.5067e+11""",AA,,
Kr,35,"=""""","=""1.04501""","=""""","=""""",,,
Br,35,"=""""","=""1.0458416""","=""""","=""2.1632e+11""",AA,,
Sc,20,"=""""","=""1.0466""","=""""","=""7.300e+11""",C+,,
Mn,25,"=""""","=""1.04665067""","=""""","=""2.5242e+13""",AA,,
Co,19,"=""1.0477""","=""1.0477*""","=""""","=""""",,,
Co,19,"=""1.0477""","=""1.0477*""","=""""","=""""",,,
Fe,18,"=""1.048""","=""1.0485""","=""""","=""""",,,
Mn,25,"=""""","=""1.04820908""","=""""","=""4.2037e+12""",AA,,
Mo,42,"=""""","=""1.04841""","=""""","=""""",,,
Fe,25,"=""""","=""1.0489""","=""""","=""2.5e+13""",C+,,
Fe,25,"=""""","=""1.0498""","=""""","=""""",,,
Fe,17,"=""1.0500""","=""1.0500""","=""3""","=""""",,,
Co,24,"=""1.0503""","=""1.0504*""","=""2""","=""""",,,
Co,24,"=""1.0503""","=""1.050*""","=""2""","=""1.8e+12""",D,,
Fe,18,"=""1.051""","=""1.0515""","=""""","=""""",,,
Ge,32,"=""""","=""1.051084""","=""""","=""1.8202e+11""",AA,,
Ge,32,"=""""","=""1.051430""","=""""","=""1.0277e+12""",AA,,
Mo,41,"=""""","=""1.05165""","=""""","=""""",,,
Ba,27,"=""1.0518""","=""1.0518""","=""25bl""","=""5.02e+14""",,,
Ba,28,"=""1.0518""","=""1.0518""","=""25bl*""","=""8.0e+12""",,,
Ba,28,"=""1.0518""","=""1.0518""","=""25bl*""","=""5.6e+12""",,,
Mn,25,"=""""","=""1.0528462""","=""""","=""1.7992e+12""",AA,,
Co,25,"=""""","=""1.0537""","=""""","=""2.2e+12""",C,,
Co,24,"=""1.0543""","=""1.0539*""","=""""","=""1.5e+13""",C,,
Co,24,"=""1.0543""","=""1.0539*""","=""""","=""2.0e+13""",C,,
Co,24,"=""1.0543""","=""1.0539*""","=""""","=""2.3e+12""",D,,
Fe,17,"=""1.0550""","=""1.0550""","=""2""","=""""",,,
Co,24,"=""1.0552""","=""1.0552*""","=""""","=""2.55e+13""",C,,
Fe,19,"=""1.0564""","=""1.0564""","=""35""","=""""",,,
Co,19,"=""1.0568""","=""1.0569*""","=""""","=""""",,,
Co,24,"=""1.0571""","=""1.0569*""","=""""","=""6.6e+12""",C,,
Co,24,"=""1.0571""","=""1.0576*""","=""""","=""7.2e+11""",C,,
Ba,26,"=""1.0571""","=""1.0571""","=""25*""","=""""",,,
Ba,26,"=""1.0571""","=""1.0571""","=""25*""","=""""",,,
Sc,19,"=""1.0576""","=""1.0574""","=""""","=""2.400e+11""",D,,
Co,24,"=""""","=""1.0582""","=""""","=""1.1e+13""",D,,
Ga,22,"=""1.0583""","=""1.0584*""","=""""","=""""",,,
Mo,42,"=""""","=""1.05838""","=""""","=""""",,,
Fe,25,"=""""","=""1.0586""","=""""","=""2.5e+12""",B,,
Co,24,"=""""","=""1.0587""","=""""","=""1.6e+12""",D,,
Co,24,"=""1.0593""","=""1.0585*""","=""""","=""2.58e+13""",C,,
Co,24,"=""1.0593""","=""1.0593*""","=""""","=""1.25e+13""",C,,
Co,24,"=""1.0593""","=""1.0593*""","=""""","=""6.6e+12""",C,,
Cu,20,"=""1.0597""","=""1.0598*""","=""4""","=""""",,,
Ti,21,"=""""","=""1.0599""","=""""","=""""",,,
Ti,21,"=""""","=""1.0606""","=""""","=""1.8e+12""",C+,,
Fe,19,"=""1.0617""","=""1.0617""","=""25""","=""""",,,
Fe,24,"=""1.0619""","=""1.0619""","=""""","=""7.28e+12""",B+,,
Ti,20,"=""""","=""1.0623""","=""""","=""1.34e+12""",C+,,
Cs,28,"=""""","=""1.0621""","=""""","=""9.77e+11""",,,
Mo,41,"=""""","=""1.0625""","=""""","=""""",,,
Mo,41,"=""""","=""1.06275""","=""""","=""""",,,
Sc,19,"=""1.0628""","=""1.0631""","=""*""","=""2.800e+11""",D,,
Sc,19,"=""1.0628""","=""1.0631""","=""*""","=""4.60e+10""",E,,
Mo,41,"=""""","=""1.0629""","=""""","=""""",,,
Mo,41,"=""""","=""1.06309""","=""""","=""""",,,
Fe,19,"=""1.0635""","=""1.0635""","=""40""","=""""",,,
Fe,19,"=""1.0635""","=""1.0635""","=""40""","=""""",,,
Co,24,"=""""","=""1.0637""","=""""","=""3.3e+12""",C,,
Ge,32,"=""""","=""1.064265""","=""""","=""3.9838e+11""",AA,,
Ge,32,"=""""","=""1.0642805""","=""""","=""9.6382e+10""",AA,,
Ne,9,"=""""","=""1.0640""","=""""","=""3.01e+11""",AA,,
Fe,19,"=""1.0644""","=""1.0644""","=""35""","=""""",,,
Ne,9,"=""""","=""1.0642""","=""""","=""2.067e+08""",AA,,
Co,19,"=""1.0645""","=""1.0645*""","=""""","=""""",,,
Cu,20,"=""1.0653""","=""1.0653*""","=""5""","=""""",,,
Fe,17,"=""1.0658""","=""1.0658""","=""3""","=""""",,,
Fe,19,"=""1.0658""","=""1.0658""","=""35""","=""""",,,
Fe,19,"=""1.0658""","=""1.0657""","=""35""","=""""",,,
Ti,20,"=""""","=""1.06580""","=""""","=""""",,,
Mo,41,"=""""","=""1.06625""","=""""","=""""",,,
Fe,24,"=""1.0663""","=""1.0663""","=""""","=""7.51e+12""",B+,,
Co,24,"=""1.0674""","=""1.0684*""","=""""","=""5.1e+12""",C,,
Co,24,"=""1.0674""","=""1.0670*""","=""""","=""1.5e+12""",D,,
Co,24,"=""1.0674""","=""1.0673*""","=""""","=""4.18e+13""",C,,
Sc,20,"=""""","=""1.0674""","=""""","=""7.400e+11""",C+,,
Fe,19,"=""1.0685""","=""1.0685""","=""25""","=""""",,,
Ti,20,"=""""","=""1.0693""","=""""","=""1.58e+12""",C+,,
Ti,20,"=""""","=""1.0694""","=""""","=""2.6e+11""",D,,
Sc,20,"=""""","=""1.0690""","=""""","=""7.60e+10""",D,,
Co,19,"=""1.0704""","=""1.0704*""","=""""","=""""",,,
Co,24,"=""1.0709""","=""1.071*""","=""0""","=""1.67e+13""",C,,
Cr,20,"=""1.0712""","=""1.0712*""","=""3""","=""""",,,
Ba,26,"=""1.0720""","=""1.0720""","=""3.5*""","=""""",,,
Ba,26,"=""1.0720""","=""1.0526""","=""3.5*""","=""""",,,
Ti,20,"=""""","=""1.07290""","=""""","=""""",,,
Fe,19,"=""1.0736""","=""1.0736""","=""20""","=""""",,,
Co,24,"=""1.0743""","=""1.0740*""","=""""","=""2.9e+11""",D,,
Ba,25,"=""1.0757""","=""""","=""15bl""","=""""",,,
Ba,30,"=""1.0757""","=""1.0757""","=""15bl*""","=""6.3e+12""",,,
Ba,30,"=""1.0757""","=""1.0757""","=""15bl*""","=""1.09e+13""",,,
Co,24,"=""1.0760""","=""1.076*""","=""""","=""1.8e+12""",D,,
Co,24,"=""1.0760""","=""1.0765*""","=""""","=""9.8e+12""",C,,
Co,24,"=""""","=""1.0764""","=""""","=""5.2e+11""",D,,
Ne,9,"=""""","=""1.0764""","=""""","=""5.20e+11""",AA,,
Kr,34,"=""""","=""1.0765""","=""""","=""""",,,
Ca,20,"=""""","=""1.07652992""","=""""","=""1.2785e+12""",AA,,
Mo,32,"=""1.0767""","=""1.07670*""","=""5""","=""""",,,
Ca,20,"=""""","=""1.07674199""","=""""","=""7.9256e+11""",AA,,
Ne,9,"=""""","=""1.0768""","=""""","=""3.52e+08""",AA,,
V,21,"=""""","=""1.0766""","=""""","=""3.5e+12""",B,,
Ca,20,"=""""","=""1.07695540""","=""""","=""6.9666e+10""",AA,,
Fe,17,"=""1.0770""","=""1.0770""","=""6""","=""""",,,
Fe,19,"=""1.0770""","=""1.0771""","=""35""","=""""",,,
Ca,20,"=""""","=""1.07718231""","=""""","=""8.0009e+11""",AA,,
Ni,20,"=""1.0772""","=""1.0772""","=""""","=""""",,,
Co,19,"=""1.0776""","=""1.078*""","=""""","=""""",,,
Sc,19,"=""1.0785""","=""1.0785""","=""g*""","=""4.030e+11""",C+',,
Sc,19,"=""1.0785""","=""1.0785""","=""g*""","=""4.030e+11""",C+',,
Sc,19,"=""1.0785""","=""1.0786""","=""*""","=""3.660e+11""",C+',,
Fe,23,"=""""","=""1.0793""","=""""","=""2.2e+11""",D,,
Co,23,"=""1.0799""","=""1.0799*""","=""""","=""""",,,
Co,23,"=""1.0799""","=""1.0797*""","=""""","=""""",,,
Cu,21,"=""1.0800""","=""1.0800*""","=""5""","=""""",,,
Co,24,"=""1.0800""","=""1.0800*""","=""""","=""2.08e+13""",C,,
Cu,21,"=""1.0801""","=""1.0801*""","=""16""","=""""",,,
Ti,21,"=""""","=""1.0804""","=""""","=""""",,,
Ba,30,"=""1.0805""","=""1.0805""","=""3.0c*""","=""6.0e+12""",,,
Ba,30,"=""1.0805""","=""1.0805""","=""3.0c*""","=""6.4e+12""",,,
Ba,30,"=""1.0805""","=""1.0805""","=""3.0c*""","=""9.3e+12""",,,
Co,23,"=""1.0809""","=""1.081*""","=""""","=""""",,,
Co,24,"=""1.0811""","=""1.0806*""","=""""","=""1.5e+12""",D,,
Co,24,"=""1.0811""","=""1.0811*""","=""""","=""2.6e+12""",C,,
Fe,19,"=""1.0813""","=""1.0820""","=""55""","=""""",,,
Fe,19,"=""1.0813""","=""1.0813""","=""55""","=""""",,,
Fe,19,"=""1.0813""","=""1.0813""","=""55""","=""""",,,
Fe,19,"=""1.0813""","=""1.0813""","=""55""","=""""",,,
Fe,19,"=""1.0813""","=""1.0813""","=""55""","=""""",,,
Cu,21,"=""1.0813""","=""1.0813*""","=""16""","=""""",,,
Ti,21,"=""""","=""1.0816""","=""""","=""""",,,
Ti,21,"=""""","=""1.0816""","=""""","=""""",,,
Ti,21,"=""""","=""1.0821""","=""""","=""1.7e+12""",C+,,
Ga,22,"=""1.0833""","=""1.0837*""","=""""","=""""",,,
Ca,20,"=""""","=""1.08330546""","=""""","=""1.5096e+12""",AA,,
Ca,20,"=""""","=""1.08345273""","=""""","=""2.5018e+11""",AA,,
Co,23,"=""1.0835""","=""1.0835*""","=""""","=""""",,,
V,20,"=""1.0838""","=""1.0838*""","=""1""","=""""",,,
Ca,20,"=""""","=""1.08388371""","=""""","=""1.4504e+11""",AA,,
Cr,20,"=""1.0840""","=""1.0840*""","=""2""","=""""",,,
V,21,"=""""","=""1.08405""","=""""","=""""",,,
Se,34,"=""""","=""1.084323""","=""""","=""3.8484e+12""",AA,,
Sc,19,"=""""","=""1.0845""","=""""","=""7.10e+10""",D',,
Sc,19,"=""1.0846""","=""1.0845""","=""""","=""4.310e+11""",C+',,
Co,23,"=""1.0847""","=""1.084*""","=""""","=""""",,,
Co,23,"=""1.0847""","=""1.0847*""","=""""","=""""",,,
Se,34,"=""""","=""1.084719""","=""""","=""2.1483e+12""",AA,,
Fe,17,"=""1.0851""","=""1.0851""","=""1""","=""""",,,
V,21,"=""""","=""1.0850""","=""""","=""4.2e+12""",B,,
V,21,"=""""","=""1.0854""","=""""","=""6.7e+11""",C+,,
Cu,21,"=""1.0858""","=""1.0859*""","=""28""","=""""",,,
Kr,34,"=""""","=""1.0860""","=""""","=""""",,,
Cu,21,"=""1.0863""","=""1.0862*""","=""28""","=""""",,,
Ti,21,"=""""","=""1.0865""","=""""","=""1.8e+11""",D,,
Mo,41,"=""""","=""1.08671""","=""""","=""""",,,
Co,23,"=""1.0868""","=""1.0868*""","=""""","=""""",,,
Sc,20,"=""""","=""1.0873""","=""""","=""2.220e+11""",C,,
Ti,21,"=""""","=""1.0878""","=""""","=""""",,,
Se,34,"=""""","=""1.088061""","=""""","=""4.1582e+11""",AA,,
Ti,21,"=""""","=""1.0881""","=""""","=""""",,,
Co,23,"=""1.0885""","=""1.0885*""","=""""","=""""",,,
Se,34,"=""""","=""1.088556""","=""""","=""2.2598e+12""",AA,,
Mn,24,"=""""","=""1.0888""","=""""","=""6.92e+12""",C,,
Co,23,"=""1.0889""","=""1.086*""","=""""","=""""",,,
Cu,21,"=""1.0893""","=""1.089*""","=""14""","=""""",,,
Ba,30,"=""1.0893""","=""1.0893""","=""7""","=""5.1e+12""",,,
Co,23,"=""1.0901""","=""1.093*""","=""""","=""""",,,
Fe,23,"=""1.0903""","=""1.0902""","=""""","=""5.3e+12""",C,,
Fe,19,"=""1.0907""","=""1.0907""","=""""","=""""",,,
Ba,25,"=""1.0910""","=""""","=""3""","=""""",,,
Ni,20,"=""1.0918""","=""1.0918""","=""""","=""""",,,
Sc,21,"=""""","=""1.09191977""","=""""","=""3.3996e+12""",AA,,
Sc,21,"=""""","=""1.09217713""","=""""","=""1.8792e+12""",AA,,
K,19,"=""""","=""1.09249297""","=""""","=""2.0155e+10""",AA,,
K,19,"=""""","=""1.09268089""","=""""","=""2.3607e+11""",AA,,
Fe,23,"=""1.0927""","=""1.0926""","=""""","=""6.0e+12""",C,,
Sc,21,"=""""","=""1.09296252""","=""""","=""1.6974e+11""",AA,,
V,21,"=""""","=""1.09300""","=""""","=""""",,,
Ti,21,"=""""","=""1.0931""","=""""","=""""",,,
Sc,21,"=""""","=""1.09325519""","=""""","=""1.9052e+12""",AA,,
Fe,19,"=""1.0933""","=""1.0926""","=""25""","=""""",,,
Co,23,"=""1.0933""","=""1.0933*""","=""""","=""""",,,
Co,24,"=""1.0933""","=""1.0936*""","=""""","=""2.4e+12""",D,,
Co,24,"=""1.0933""","=""1.0933*""","=""""","=""2.38e+13""",C,,
Fe,23,"=""1.0935""","=""1.0935""","=""""","=""5.4e+12""",C,,
Kr,34,"=""""","=""1.0936""","=""""","=""""",,,
Ni,20,"=""1.0936""","=""1.0936""","=""""","=""""",,,
Mo,41,"=""""","=""1.0940""","=""""","=""""",,,
Cr,20,"=""1.0940""","=""1.0935*""","=""3""","=""""",,,
V,20,"=""1.0941""","=""1.094*""","=""""","=""3.0e+12""",D,,
Kr,34,"=""""","=""1.0948""","=""""","=""""",,,
Mo,40,"=""""","=""1.09483""","=""""","=""""",,,
Er,68,"=""""","=""1.096158""","=""""","=""2.7213e+12""",AA,,
Cu,21,"=""1.0971""","=""1.0971*""","=""14""","=""""",,,
Co,18,"=""1.0975""","=""1.0975*""","=""""","=""9.4e+12""",D,,
Cs,28,"=""""","=""1.0979""","=""""","=""9.12e+12""",,,
Fe,23,"=""1.0980""","=""1.0981""","=""""","=""7.9e+12""",C,,
Fe,23,"=""""","=""1.0981""","=""""","=""1.5e+12""",D,,
Ni,20,"=""1.0982""","=""1.0982""","=""""","=""""",,,
K,19,"=""""","=""1.09828603""","=""""","=""4.1782e+10""",AA,,
Mo,41,"=""""","=""1.0992""","=""""","=""""",,,
Ne,9,"=""""","=""1.1000""","=""""","=""1.024e+12""",AA,,
Cu,21,"=""1.1002""","=""1.1002*""","=""12""","=""""",,,
Sc,21,"=""""","=""1.10024097""","=""""","=""4.0149e+12""",AA,,
Na,10,"=""1.1005""","=""1.10028941""","=""""","=""1.35e+13""",A+,,
Sc,21,"=""""","=""1.10060183""","=""""","=""6.6608e+11""",AA,,
Ne,9,"=""""","=""1.1008""","=""""","=""6.84e+08""",AA,,
Co,23,"=""1.1010""","=""1.101*""","=""""","=""""",,,
Se,34,"=""""","=""1.10104297""","=""""","=""5.7419e+12""",AA,,
Se,34,"=""""","=""1.101074""","=""""","=""4.5514e+12""",AA,,
Mo,32,"=""1.1011""","=""1.10110*""","=""11""","=""""",,,
Cu,21,"=""1.1014""","=""1.1014*""","=""14""","=""""",,,
Sc,21,"=""""","=""1.10166123""","=""""","=""3.5509e+11""",AA,,
Fe,23,"=""1.1018""","=""1.1018""","=""""","=""4.9e+12""",C,,
